Model,Displ,Cyl,Drive,Fuel,Veh Class,Air Pollution Score,Greenhouse Gas Score,Comb CO2
ACURA Integra,1.5,4.0,2WD,Gasoline,large car,7,6,269
ACURA Integra,1.5,4.0,2WD,Gasoline,large car,7,6,269
ACURA Integra A-Spec,1.5,4.0,2WD,Gasoline,large car,6,6,293
ACURA Integra A-Spec,1.5,4.0,2WD,Gasoline,large car,6,6,293
ACURA Integra A-Spec,1.5,4.0,2WD,Gasoline,large car,7,6,277
ACURA Integra A-Spec,1.5,4.0,2WD,Gasoline,large car,7,6,277
ACURA MDX,3.5,6.0,2WD,Gasoline,small SUV,5,5,411
ACURA MDX,3.5,6.0,2WD,Gasoline,small SUV,5,5,411
ACURA MDX,3.5,6.0,4WD,Gasoline,small SUV,5,4,423
ACURA MDX,3.5,6.0,4WD,Gasoline,small SUV,5,4,423
ACURA MDX Type-S,3.0,6.0,4WD,Gasoline,standard SUV,5,4,474
ACURA MDX Type-S,3.0,6.0,4WD,Gasoline,standard SUV,5,4,474
ACURA RDX,2.0,4.0,2WD,Gasoline,small SUV,6,5,370
ACURA RDX,2.0,4.0,2WD,Gasoline,small SUV,6,5,370
ACURA RDX,2.0,4.0,4WD,Gasoline,small SUV,6,5,385
ACURA RDX,2.0,4.0,4WD,Gasoline,small SUV,6,5,385
ACURA RDX A-SPEC,2.0,4.0,2WD,Gasoline,small SUV,6,5,375
ACURA RDX A-SPEC,2.0,4.0,2WD,Gasoline,small SUV,6,5,375
ACURA RDX A-SPEC,2.0,4.0,4WD,Gasoline,small SUV,6,5,388
ACURA RDX A-SPEC,2.0,4.0,4WD,Gasoline,small SUV,6,5,388
ACURA TLX,2.0,4.0,2WD,Gasoline,small car,7,5,352
ACURA TLX,2.0,4.0,2WD,Gasoline,small car,7,5,352
ACURA TLX,2.0,4.0,4WD,Gasoline,small car,7,5,369
ACURA TLX,2.0,4.0,4WD,Gasoline,small car,7,5,369
ACURA TLX AWD A-SPEC,2.0,4.0,4WD,Gasoline,small car,7,5,371
ACURA TLX AWD A-SPEC,2.0,4.0,4WD,Gasoline,small car,7,5,371
ACURA TLX FWD A-SPEC,2.0,4.0,2WD,Gasoline,small car,7,5,357
ACURA TLX FWD A-SPEC,2.0,4.0,2WD,Gasoline,small car,7,5,357
ACURA TLX Type-S,3.0,6.0,4WD,Gasoline,small car,5,4,420
ACURA TLX Type-S,3.0,6.0,4WD,Gasoline,small car,5,4,420
ACURA TLX Type-S Perf Tire,3.0,6.0,4WD,Gasoline,small car,5,4,421
ACURA TLX Type-S Perf Tire,3.0,6.0,4WD,Gasoline,small car,5,4,421
ALFA ROMEO Giulia,2.0,4.0,2WD,Gasoline,midsize car,5,5,330
ALFA ROMEO Giulia,2.0,4.0,2WD,Gasoline,midsize car,5,5,330
ALFA ROMEO Giulia,2.9,6.0,2WD,Gasoline,midsize car,3,4,436
ALFA ROMEO Giulia,2.9,6.0,2WD,Gasoline,midsize car,3,4,436
ALFA ROMEO Giulia AWD,2.0,4.0,4WD,Gasoline,midsize car,5,5,348
ALFA ROMEO Giulia AWD,2.0,4.0,4WD,Gasoline,midsize car,5,5,348
ALFA ROMEO Stelvio,2.0,4.0,2WD,Gasoline,small SUV,5,5,359
ALFA ROMEO Stelvio,2.0,4.0,2WD,Gasoline,small SUV,5,5,359
ALFA ROMEO Stelvio AWD,2.0,4.0,4WD,Gasoline,small SUV,5,5,364
ALFA ROMEO Stelvio AWD,2.0,4.0,4WD,Gasoline,small SUV,5,5,364
ALFA ROMEO Stelvio AWD,2.9,6.0,4WD,Gasoline,small SUV,3,4,463
ALFA ROMEO Stelvio AWD,2.9,6.0,4WD,Gasoline,small SUV,3,4,463
ASTON MARTIN DB11 V12,5.2,12.0,2WD,Gasoline,small car,3,3,522
ASTON MARTIN DB11 V12,5.2,12.0,2WD,Gasoline,small car,3,3,522
ASTON MARTIN DB11 V8,4.0,8.0,2WD,Gasoline,small car,5,4,431
ASTON MARTIN DB11 V8,4.0,8.0,2WD,Gasoline,small car,5,4,431
ASTON MARTIN DBS,5.2,12.0,2WD,Gasoline,small car,3,3,522
ASTON MARTIN DBS,5.2,12.0,2WD,Gasoline,small car,3,3,522
ASTON MARTIN DBX 707,4.0,8.0,4WD,Gasoline,standard SUV,5,3,536
ASTON MARTIN DBX 707,4.0,8.0,4WD,Gasoline,standard SUV,5,3,536
ASTON MARTIN DBX V8,4.0,8.0,4WD,Gasoline,standard SUV,5,3,556
ASTON MARTIN DBX V8,4.0,8.0,4WD,Gasoline,standard SUV,5,3,556
ASTON MARTIN V12 Vantage,5.2,12.0,2WD,Gasoline,small car,3,3,548
ASTON MARTIN V12 Vantage,5.2,12.0,2WD,Gasoline,small car,3,3,548
ASTON MARTIN Vantage,4.0,8.0,2WD,Gasoline,small car,5,4,435
ASTON MARTIN Vantage,4.0,8.0,2WD,Gasoline,small car,5,4,435
AUDI A3,2.0,4.0,2WD,Gasoline,small car,7,6,276
AUDI A3,2.0,4.0,2WD,Gasoline,small car,7,6,276
AUDI A3,2.0,4.0,4WD,Gasoline,small car,7,6,294
AUDI A3,2.0,4.0,4WD,Gasoline,small car,7,6,294
AUDI A4,2.0,4.0,4WD,Gasoline,small car,5,6,322
AUDI A4,2.0,4.0,4WD,Gasoline,small car,5,6,322
AUDI A4 Allroad quattro,2.0,4.0,4WD,Gasoline,station wagon,5,5,344
AUDI A4 Allroad quattro,2.0,4.0,4WD,Gasoline,station wagon,5,5,344
AUDI A4 S-Line quattro,2.0,4.0,4WD,Gasoline,small car,5,5,326
AUDI A4 S-Line quattro,2.0,4.0,4WD,Gasoline,small car,5,5,326
AUDI A5,2.0,4.0,4WD,Gasoline,small car,5,5,326
AUDI A5,2.0,4.0,4WD,Gasoline,small car,5,5,326
AUDI A5 Cabriolet,2.0,4.0,4WD,Gasoline,small car,5,5,334
AUDI A5 Cabriolet,2.0,4.0,4WD,Gasoline,small car,5,5,334
AUDI A5 Sportback S-Line quattro,2.0,4.0,4WD,Gasoline,midsize car,5,5,326
AUDI A5 Sportback S-Line quattro,2.0,4.0,4WD,Gasoline,midsize car,5,5,326
AUDI A5 Sportback quattro,2.0,4.0,4WD,Gasoline,midsize car,5,6,322
AUDI A5 Sportback quattro,2.0,4.0,4WD,Gasoline,midsize car,5,6,322
AUDI A6,2.0,4.0,4WD,Gasoline,midsize car,5,5,334
AUDI A6,2.0,4.0,4WD,Gasoline,midsize car,5,5,334
AUDI A6,3.0,6.0,4WD,Gasoline,midsize car,5,5,361
AUDI A6,3.0,6.0,4WD,Gasoline,midsize car,5,5,361
AUDI A6 Allroad,3.0,6.0,4WD,Gasoline,station wagon,5,5,361
AUDI A6 Allroad,3.0,6.0,4WD,Gasoline,station wagon,5,5,361
AUDI A7,3.0,6.0,4WD,Gasoline,midsize car,5,5,361
AUDI A7,3.0,6.0,4WD,Gasoline,midsize car,5,5,361
AUDI A8 L,3.0,6.0,4WD,Gasoline,large car,5,5,398
AUDI A8 L,3.0,6.0,4WD,Gasoline,large car,5,5,398
AUDI Q3,2.0,4.0,4WD,Gasoline,small SUV,6,5,361
AUDI Q3,2.0,4.0,4WD,Gasoline,small SUV,6,5,361
AUDI Q3 S-Line,2.0,4.0,4WD,Gasoline,small SUV,7,5,375
AUDI Q3 S-Line,2.0,4.0,4WD,Gasoline,small SUV,7,5,375
AUDI Q4 e-tron,0.0,0.0,2WD,Electricity,standard SUV,10,10,0
AUDI Q4 e-tron,0.0,0.0,2WD,Electricity,standard SUV,10,10,0
AUDI Q4 e-tron Sportback,0.0,0.0,4WD,Electricity,standard SUV,10,10,0
AUDI Q4 e-tron Sportback,0.0,0.0,4WD,Electricity,standard SUV,10,10,0
AUDI Q4 e-tron quattro,0.0,0.0,4WD,Electricity,standard SUV,10,10,0
AUDI Q4 e-tron quattro,0.0,0.0,4WD,Electricity,standard SUV,10,10,0
AUDI Q5 S-Line quattro,2.0,4.0,4WD,Gasoline,small SUV,5,5,358
AUDI Q5 S-Line quattro,2.0,4.0,4WD,Gasoline,small SUV,5,5,358
AUDI Q5 Sportback S-line quattro,2.0,4.0,4WD,Gasoline,small SUV,5,5,358
AUDI Q5 Sportback S-line quattro,2.0,4.0,4WD,Gasoline,small SUV,5,5,358
AUDI Q5 TFSIe,2.0,4.0,4WD,Gasoline/Electricity,small SUV,7,9,148
AUDI Q5 TFSIe,2.0,4.0,4WD,Gasoline/Electricity,small SUV,7,9,148
AUDI Q5 quattro,2.0,4.0,4WD,Gasoline,small SUV,5,5,350
AUDI Q5 quattro,2.0,4.0,4WD,Gasoline,small SUV,5,5,350
